,latitude,longitude,total_number_of_crimes,theft,assault,robbery,burglary,homocide,other
34,38.88162241566865,-77.0567748090319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,38.836633707834324,-77.03877932589815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,38.80064274156686,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,38.80964048313373,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,38.81863822470059,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,38.82763596626746,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,38.836633707834324,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,38.86362693253492,-77.03877932589815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,38.84563144940119,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,38.80064274156686,-77.03877932589815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,38.84563144940119,-77.0207838427644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,38.836633707834324,-77.0207838427644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,38.854629190968055,-77.02978158433127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,38.88162241566865,-77.04777706746502,1.0,1.0,0.0,0.0,0.0,0.0,0.0
46,38.872624674101786,-77.04777706746502,1.0,0.0,1.0,0.0,0.0,0.0,0.0
84,38.86362693253492,-77.02978158433127,2.0,2.0,0.0,0.0,0.0,0.0,0.0
103,38.854629190968055,-77.0207838427644,2.0,2.0,0.0,0.0,0.0,0.0,0.0
63,38.872624674101786,-77.03877932589815,2.0,1.0,1.0,0.0,0.0,0.0,0.0
98,38.80964048313373,-77.0207838427644,3.0,2.0,0.0,1.0,0.0,0.0,0.0
56,38.96260208977044,-77.04777706746502,4.0,3.0,0.0,1.0,0.0,0.0,0.0
55,38.95360434820358,-77.04777706746502,4.0,4.0,0.0,0.0,0.0,0.0,0.0
121,38.854629190968055,-77.01178610119753,5.0,2.0,1.0,1.0,1.0,0.0,0.0
57,38.97159983133731,-77.04777706746502,6.0,6.0,0.0,0.0,0.0,0.0,0.0
99,38.81863822470059,-77.0207838427644,6.0,4.0,0.0,2.0,0.0,0.0,0.0
104,38.86362693253492,-77.0207838427644,6.0,6.0,0.0,0.0,0.0,0.0,0.0
35,38.89062015723552,-77.0567748090319,12.0,8.0,2.0,0.0,1.0,0.0,1.0
85,38.872624674101786,-77.02978158433127,18.0,16.0,1.0,0.0,1.0,0.0,0.0
64,38.88162241566865,-77.03877932589815,18.0,16.0,2.0,0.0,0.0,0.0,0.0
58,38.98059757290417,-77.04777706746502,20.0,20.0,0.0,0.0,0.0,0.0,0.0
100,38.82763596626746,-77.0207838427644,22.0,15.0,0.0,6.0,0.0,0.0,1.0
59,38.98959531447104,-77.04777706746502,23.0,20.0,0.0,0.0,2.0,0.0,1.0
6,38.90861564036925,-77.09276577529938,26.0,25.0,0.0,0.0,1.0,0.0,0.0
45,38.98059757290417,-77.0567748090319,32.0,32.0,0.0,0.0,0.0,0.0,0.0
120,38.84563144940119,-77.01178610119753,33.0,19.0,6.0,5.0,3.0,0.0,0.0
12,38.90861564036925,-77.08376803373251,33.0,33.0,0.0,0.0,0.0,0.0,0.0
122,38.86362693253492,-77.01178610119753,34.0,25.0,5.0,1.0,3.0,0.0,0.0
206,38.90861564036925,-76.9577996517963,37.0,26.0,4.0,4.0,0.0,0.0,3.0
65,38.89062015723552,-77.03877932589815,38.0,35.0,2.0,0.0,1.0,0.0,0.0
1,38.935608865069845,-77.11076125843313,38.0,37.0,0.0,0.0,1.0,0.0,0.0
0,38.92661112350298,-77.11076125843313,39.0,36.0,0.0,0.0,3.0,0.0,0.0
42,38.95360434820358,-77.0567748090319,40.0,37.0,0.0,1.0,2.0,0.0,0.0
43,38.96260208977044,-77.0567748090319,41.0,38.0,1.0,1.0,1.0,0.0,0.0
2,38.917613381936114,-77.10176351686626,45.0,40.0,0.0,0.0,5.0,0.0,0.0
139,38.86362693253492,-77.00278835963066,45.0,30.0,9.0,3.0,2.0,0.0,1.0
7,38.917613381936114,-77.09276577529938,46.0,42.0,0.0,0.0,4.0,0.0,0.0
48,38.89062015723552,-77.04777706746502,50.0,41.0,2.0,1.0,3.0,0.0,3.0
54,38.94460660663671,-77.04777706746502,60.0,53.0,0.0,0.0,7.0,0.0,0.0
75,38.98059757290417,-77.03877932589815,60.0,58.0,0.0,0.0,2.0,0.0,0.0
15,38.935608865069845,-77.08376803373251,61.0,55.0,1.0,0.0,5.0,0.0,0.0
13,38.917613381936114,-77.08376803373251,61.0,60.0,0.0,0.0,1.0,0.0,0.0
44,38.97159983133731,-77.0567748090319,62.0,62.0,0.0,0.0,0.0,0.0,0.0
8,38.92661112350298,-77.09276577529938,63.0,59.0,0.0,0.0,4.0,0.0,0.0
76,38.98959531447104,-77.03877932589815,65.0,61.0,0.0,0.0,3.0,0.0,1.0
5,38.94460660663671,-77.10176351686626,68.0,62.0,1.0,1.0,4.0,0.0,0.0
9,38.935608865069845,-77.09276577529938,69.0,66.0,0.0,0.0,3.0,0.0,0.0
74,38.97159983133731,-77.03877932589815,70.0,53.0,3.0,12.0,2.0,0.0,0.0
197,38.90861564036925,-76.96679739336317,71.0,46.0,16.0,4.0,3.0,0.0,2.0
11,38.95360434820358,-77.09276577529938,72.0,67.0,1.0,0.0,3.0,0.0,1.0
3,38.92661112350298,-77.10176351686626,73.0,66.0,0.0,0.0,7.0,0.0,0.0
4,38.935608865069845,-77.10176351686626,79.0,76.0,0.0,1.0,2.0,0.0,0.0
14,38.92661112350298,-77.08376803373251,84.0,78.0,0.0,1.0,5.0,0.0,0.0
33,38.97159983133731,-77.06577255059877,90.0,89.0,1.0,0.0,0.0,0.0,0.0
190,38.94460660663671,-76.97579513493004,98.0,84.0,3.0,8.0,3.0,0.0,0.0
138,38.854629190968055,-77.00278835963066,105.0,51.0,23.0,21.0,5.0,0.0,5.0
10,38.94460660663671,-77.09276577529938,118.0,113.0,1.0,0.0,4.0,0.0,0.0
130,38.935608865069845,-77.01178610119753,119.0,106.0,3.0,4.0,2.0,0.0,4.0
215,38.917613381936114,-76.94880191022942,123.0,111.0,4.0,6.0,1.0,0.0,1.0
28,38.92661112350298,-77.06577255059877,123.0,108.0,3.0,1.0,10.0,0.0,1.0
195,38.89062015723552,-76.96679739336317,124.0,99.0,9.0,10.0,3.0,0.0,3.0
32,38.96260208977044,-77.06577255059877,126.0,120.0,2.0,0.0,3.0,0.0,1.0
86,38.88162241566865,-77.02978158433127,130.0,121.0,3.0,3.0,2.0,0.0,1.0
73,38.96260208977044,-77.03877932589815,135.0,101.0,4.0,27.0,2.0,0.0,1.0
18,38.90861564036925,-77.07477029216564,139.0,122.0,1.0,5.0,11.0,0.0,0.0
72,38.95360434820358,-77.03877932589815,140.0,121.0,1.0,14.0,4.0,0.0,0.0
125,38.89062015723552,-77.01178610119753,140.0,108.0,9.0,10.0,9.0,0.0,4.0
38,38.917613381936114,-77.0567748090319,144.0,128.0,1.0,6.0,9.0,0.0,0.0
178,38.94460660663671,-76.98479287649691,147.0,122.0,4.0,14.0,6.0,0.0,1.0
200,38.935608865069845,-76.96679739336317,148.0,124.0,8.0,8.0,7.0,0.0,1.0
194,38.88162241566865,-76.96679739336317,159.0,112.0,15.0,22.0,6.0,0.0,4.0
210,38.872624674101786,-76.94880191022942,162.0,120.0,11.0,16.0,11.0,0.0,4.0
216,38.872624674101786,-76.93980416866255,163.0,106.0,18.0,21.0,15.0,0.0,3.0
117,38.81863822470059,-77.01178610119753,163.0,120.0,19.0,16.0,6.0,0.0,2.0
53,38.935608865069845,-77.04777706746502,170.0,142.0,1.0,12.0,14.0,0.0,1.0
21,38.935608865069845,-77.07477029216564,172.0,155.0,3.0,1.0,11.0,0.0,2.0
147,38.935608865069845,-77.00278835963066,172.0,148.0,3.0,11.0,8.0,0.0,2.0
24,38.96260208977044,-77.07477029216564,176.0,162.0,3.0,5.0,6.0,0.0,0.0
148,38.94460660663671,-77.00278835963066,178.0,146.0,4.0,24.0,3.0,0.0,1.0
27,38.917613381936114,-77.06577255059877,180.0,151.0,2.0,3.0,24.0,0.0,0.0
19,38.917613381936114,-77.07477029216564,181.0,163.0,2.0,2.0,14.0,0.0,0.0
214,38.90861564036925,-76.94880191022942,187.0,145.0,12.0,19.0,5.0,0.0,6.0
202,38.872624674101786,-76.9577996517963,188.0,149.0,15.0,15.0,6.0,0.0,3.0
20,38.92661112350298,-77.07477029216564,194.0,175.0,3.0,2.0,12.0,0.0,2.0
227,38.89062015723552,-76.91281094396193,197.0,138.0,18.0,23.0,12.0,0.0,6.0
205,38.89961789880238,-76.9577996517963,201.0,153.0,18.0,21.0,4.0,0.0,5.0
119,38.836633707834324,-77.01178610119753,203.0,119.0,30.0,37.0,14.0,0.0,3.0
209,38.86362693253492,-76.94880191022942,205.0,159.0,13.0,21.0,10.0,0.0,2.0
196,38.89961789880238,-76.96679739336317,205.0,129.0,43.0,21.0,7.0,0.0,5.0
41,38.94460660663671,-77.0567748090319,208.0,188.0,0.0,5.0,12.0,0.0,3.0
164,38.94460660663671,-76.99379061806378,211.0,173.0,6.0,22.0,9.0,0.0,1.0
207,38.917613381936114,-76.9577996517963,212.0,193.0,6.0,9.0,3.0,0.0,1.0
39,38.92661112350298,-77.0567748090319,216.0,190.0,3.0,7.0,15.0,0.0,1.0
165,38.95360434820358,-76.99379061806378,218.0,193.0,6.0,13.0,5.0,0.0,1.0
31,38.95360434820358,-77.06577255059877,223.0,200.0,2.0,8.0,10.0,0.0,3.0
134,38.97159983133731,-77.01178610119753,225.0,196.0,9.0,9.0,8.0,0.0,3.0
40,38.935608865069845,-77.0567748090319,225.0,203.0,2.0,5.0,14.0,0.0,1.0
